OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 7,balanced_accuracy,0.9703980517299295,hamlet,5,4839,5,0,0:03:50,0:34:16,0:16:18,0:17:58,8,299,30,30,630999,32713,663712,0.20681925000000015,general.yml
40499,texture,classification,Pipeline 9,balanced_accuracy,0.9927272727272727,hamlet,40,5500,40,0,0:03:41,0:34:43,0:18:53,0:15:50,8,299,30,30,1460909,29774,1490683,0.23458940000000006,general.yml
1485,madelon,classification,Pipeline 5,balanced_accuracy,0.8461538461538461,hamlet,500,2600,500,0,0:18:29,2:11:10,1:06:13,1:04:57,8,299,30,30,12699445,29194,12728639,0.6964267750000002,general.yml
1478,har,classification,Pipeline 12,balanced_accuracy,0.9863590269127357,hamlet,561,10299,561,0,0:59:25,6:36:30,3:25:06,3:11:24,8,299,30,30,20966294,32632,20998926,1.0232610499999995,general.yml
1590,adult,classification,Pipeline 17,balanced_accuracy,0.8212558676406918,hamlet,14,48842,6,8,0:22:44,2:56:59,1:08:06,1:48:53,8,299,30,30,2953094,85656,3038750,0.5981581249999999,general.yml
554,mnist_784,classification,Pipeline 1,balanced_accuracy,0.9634216057917573,hamlet,784,70000,784,0,2:00:35,5:23:39,2:33:00,2:50:39,8,299,30,21,13711529,23048,13734577,0.864385325,general.yml
43939,california_housing,regression,Pipeline 10,rmse,62248.57428582103,to fill,9,20640,9,0,0:05:08,0:34:41,0:20:36,0:14:06,8,272,30,30,1911168,59323,1970491,0.43643467499999977,general.yml
42165,ames_housing,regression,Pipeline 8,rmse,31692.650388278376,to fill,80,1460,37,43,0:04:05,0:26:22,0:17:13,0:09:09,8,272,30,30,4344655,65692,4410347,0.5796211750000002,general.yml
196,auto_mpg,regression,Pipeline 12,rmse,2.3209181652187314,to fill,7,398,7,0,0:04:00,0:24:09,0:20:02,0:04:07,8,815,30,30,3774347,80484,3854831,0.723473525,general.yml
