OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 13,balanced_accuracy,0.9758565670137722,hamlet,5,4839,5,0,0:03:07,0:23:10,0:14:11,0:08:59,8,72,30,30,551592,26676,578268,0.17791200000000015,wilt.yml
40499,texture,classification,Pipeline 13,balanced_accuracy,0.9954545454545456,hamlet,40,5500,40,0,0:03:31,0:25:28,0:15:18,0:10:10,8,36,30,30,1350312,22501,1372813,0.20423257500000003,texture.yml
1485,madelon,classification,Pipeline 7,balanced_accuracy,0.7769230769230769,hamlet,500,2600,500,0,0:02:30,0:12:30,0:06:06,0:06:24,8,16,30,16,6327271,11264,6338535,0.39687692500000016,madelon.yml
1478,har,classification,Pipeline 13,balanced_accuracy,0.9817282730619138,hamlet,561,10299,561,0,0:03:55,0:28:25,0:11:08,0:17:17,8,16,30,16,8590267,9923,8600190,0.43601995000000016,har.yml
1590,adult,classification,Pipeline 8,balanced_accuracy,0.8261167554734237,hamlet,14,48842,6,8,2:00:59,3:43:06,2:01:37,1:41:28,8,68,30,28,2676620,74486,2751106,0.5318193499999998,adult.yml
554,mnist_784,classification,Pipeline 1,balanced_accuracy,0.9661944299154979,hamlet,784,70000,784,0,0:10:44,1:25:28,0:29:13,0:56:15,8,16,30,15,7047904,9911,7057815,0.618822625,mnist_784.yml
43939,california_housing,regression,Pipeline 19,rmse,60326.77858819427,to fill,9,20640,9,0,0:05:07,0:35:35,0:25:16,0:10:19,8,87,30,30,1800239,51353,1851592,0.42531657499999975,california_housing.yml
42165,ames_housing,regression,Pipeline 6,rmse,31822.56312345592,to fill,80,1460,37,43,0:08:13,0:44:06,0:34:44,0:09:21,8,184,30,30,4473858,66152,4540010,0.6772260749999994,ames_housing.yml
196,auto_mpg,regression,Pipeline 16,rmse,2.1148240029448244,to fill,7,398,7,0,0:04:48,0:28:03,0:24:03,0:04:00,8,78,30,30,1357873,40127,1398000,0.3565339000000001,auto_mpg.yml
