Experiment,Datasets,Classification Datasets,Regression Datasets,Mean Classification Score,Mean Classification Baseline,Mean Regression RMSE,Mean Regression Baseline,Total Actual Time (h),Total Equivalent Time (h),Total LLM Inference Time (h),Total ML Training Time (h),Mean Parallel Speedup,Total Input Tokens,Total Output Tokens,Total Tokens,Total Putative Cost ($),Mean Cost per Pipeline ($),Total Actual Pipelines
gemini-2.5-flash,9,6,3,0.9309450953300779,0.7851666666666666,33767.9815546862,1.0,4.0536111111111115,16.12638888888889,10.220833333333333,5.905833333333334,5.99662675903535,34986413,2690593,37677006,19.376743330000004,0.10255965249382716,221
gemini-3.1-flash-lite-preview,9,6,3,0.9364243487106224,0.7851666666666666,32622.3137861706,1.0,3.9013888888888886,19.589722222222225,9.135277777777778,10.453888888888889,6.902155549668941,66099014,397400,66496414,19.836464099999997,0.07788503992528736,264
