OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 23,balanced_accuracy,0.9849261001007725,hamlet,5,4839,5,0,0:02:11,0:17:06,0:10:32,0:06:34,8,72,30,30,599700,27187,626887,0.18367334999999999,wilt.yml
40499,texture,classification,Pipeline 2,balanced_accuracy,0.9954545454545456,hamlet,40,5500,40,0,0:02:39,0:21:10,0:11:20,0:09:51,8,36,30,30,1247349,21965,1269314,0.18750952499999998,texture.yml
1485,madelon,classification,Pipeline 7,balanced_accuracy,0.7769230769230769,hamlet,500,2600,500,0,0:01:52,0:10:24,0:04:25,0:05:58,8,16,30,16,5970471,10891,5981362,0.3456308999999999,madelon.yml
1478,har,classification,Pipeline 13,balanced_accuracy,0.9817282730619138,hamlet,561,10299,561,0,0:03:29,0:28:20,0:12:06,0:16:14,8,16,30,16,9467823,11367,9479190,0.41578185,har.yml
1590,adult,classification,Pipeline 10,balanced_accuracy,0.8260254679521515,hamlet,14,48842,6,8,0:49:05,4:52:08,1:55:49,2:56:18,8,68,30,30,2084399,60045,2144444,0.44351165,adult.yml
554,mnist_784,classification,Pipeline 1,balanced_accuracy,0.9652656241929213,hamlet,784,70000,784,0,0:11:21,1:37:47,0:25:22,1:12:25,8,16,30,16,7283028,9966,7292994,0.41302605000000003,mnist_784.yml
43939,california_housing,regression,Pipeline 27,rmse,49783.41321722379,to fill,9,20640,9,0,0:03:12,0:21:45,0:15:24,0:06:21,8,87,30,30,1923703,52893,1976596,0.42386710000000005,california_housing.yml
42165,ames_housing,regression,Pipeline 6,rmse,31145.761823083107,to fill,80,1460,37,43,0:04:16,0:30:07,0:18:19,0:11:47,8,184,30,30,3998779,58807,4057586,0.4985233749999999,ames_housing.yml
196,auto_mpg,regression,Pipeline 11,rmse,2.1484063927615105,to fill,7,398,7,0,0:02:59,0:15:56,0:12:56,0:03:00,8,78,30,30,1764939,45631,1810570,0.41204340000000017,auto_mpg.yml
