OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 28,balanced_accuracy,0.9676687940880081,hamlet,5,4839,5,0,0:03:24,0:30:28,0:15:26,0:15:01,8,30,30,622179,31941,654120,0.20345624999999995
40499,texture,classification,Pipeline 25,balanced_accuracy,0.9954545454545456,hamlet,40,5500,40,0,0:03:24,0:32:29,0:15:28,0:17:01,8,30,30,1419319,27599,1446918,0.22186247499999998
1485,madelon,classification,Pipeline 10,balanced_accuracy,0.8480769230769231,hamlet,500,2600,500,0,0:23:47,3:25:40,1:29:53,1:55:47,8,30,30,12561340,27164,12588504,0.6799400500000001
1478,har,classification,Pipeline 2,balanced_accuracy,0.9876779236183347,hamlet,561,10299,561,0,0:56:44,7:58:58,2:57:07,5:01:51,8,30,30,22190636,33232,22223868,1.196917625
1590,adult,classification,Pipeline 17,balanced_accuracy,0.8239901764036377,hamlet,14,48842,6,8,2:00:25,5:25:26,2:35:08,2:50:18,8,30,29,1855736,70048,1925784,0.458031725
554,mnist_784,classification,Pipeline 22,balanced_accuracy,0.9679908322212863,hamlet,784,70000,784,0,2:00:38,9:51:44,2:38:29,7:13:14,8,30,20,11853209,18680,11871889,0.8032364000000001
43939,california_housing,regression,Pipeline 16,rmse,69413.4628396148,to fill,9,20640,9,0,0:03:42,0:22:14,0:14:43,0:07:31,8,30,30,2159617,62815,2222432,0.47285979999999994
42165,ames_housing,regression,Pipeline 28,rmse,32195.165583255166,to fill,80,1460,37,43,0:03:48,0:25:21,0:19:54,0:05:27,8,30,30,8346884,106281,8453165,0.9656153000000002
196,auto_mpg,regression,Pipeline 25,rmse,2.2953359475803587,to fill,7,398,7,0,0:03:42,0:20:38,0:18:18,0:02:20,8,30,30,4724370,96819,4821189,0.8687889000000003
