OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 28,balanced_accuracy,0.8888982196842459,hamlet,5,4839,5,0,0:02:57,0:24:01,0:13:03,0:10:58,8,,30,30,777096,38664,815760,0.24785999999999994,
40499,texture,classification,Pipeline 18,balanced_accuracy,0.9918181818181818,hamlet,40,5500,40,0,0:03:43,0:32:41,0:16:31,0:16:10,8,,30,30,1435772,31270,1467042,0.23495172499999992,
1485,madelon,classification,Pipeline 23,balanced_accuracy,0.851923076923077,hamlet,500,2600,500,0,0:47:05,7:19:05,3:17:46,4:01:19,8,,30,30,14315479,36247,14351726,0.8091250750000002,
1478,har,classification,Pipeline 0,balanced_accuracy,0.980057432429939,hamlet,561,10299,561,0,1:42:50,14:07:53,5:06:41,9:01:13,8,,30,30,20572112,32317,20604429,1.2047906000000004,
1590,adult,classification,Pipeline 22,balanced_accuracy,0.8128262766237523,hamlet,14,48842,6,8,0:19:31,2:47:43,1:07:36,1:40:07,8,2430,30,30,2959277,96344,3055621,0.6243788000000003,poor.yml
554,mnist_784,classification,Pipeline 8,balanced_accuracy,0.962291952098757,hamlet,784,70000,784,0,2:00:18,1:35:09,0:25:07,1:10:02,8,2430,30,7,5456095,9856,5465951,0.38442722500000004,poor.yml
43939,california_housing,regression,Pipeline 8,rmse,50659.6356242369,to fill,9,20640,9,0,0:04:26,0:36:49,0:21:00,0:15:49,8,1080,30,30,1962965,60124,2023089,0.41927082500000007,poor.yml
42165,ames_housing,regression,Pipeline 2,rmse,31642.86625245656,to fill,80,1460,37,43,0:04:33,0:29:20,0:21:47,0:07:33,8,1080,30,30,5760755,79089,5839844,0.7120041500000001,poor.yml
196,auto_mpg,regression,Pipeline 13,rmse,2.2975090637157023,to fill,7,398,7,0,0:03:47,0:23:26,0:20:56,0:02:30,8,3915,30,30,4999113,106406,5105519,0.8757999750000001,poor.yml
