OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 4,balanced_accuracy,0.9555340947262345,hamlet,6,4839,6,0,0:08:50,0:50:56,0:39:27,0:11:29,8,30,30,452446,181527,633973,4.047722124999999
40499,texture,classification,Pipeline 8,balanced_accuracy,1.0,hamlet,41,5500,41,0,0:05:57,0:44:40,0:33:54,0:10:46,8,30,30,991161,142665,1133826,4.056946249999999
1485,madelon,classification,Pipeline 7,balanced_accuracy,0.851923076923077,hamlet,501,2600,501,0,0:40:01,3:49:39,1:49:29,2:00:10,8,30,30,12901241,284598,13185839,13.078591249999995
