Dataset,Problem,Best Pipeline,Best Test-set score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Consumed Tokens,Putative Cost ($)
wilt,classification,Pipeline 15,0.9907024793388429,hamlet / 0.975,6,4839,6,0,0:04:38,0:41:18,0:25:07,0:16:11,30,30,451487,24141,475628,0.4472497500000001
texture,classification,Pipeline 17,0.9990909090909091,hamlet / 0.997,41,5500,41,0,0:03:34,0:31:24,0:18:31,0:12:53,30,30,1216507,25491,1241998,0.9840355499999995
madelon,classification,Pipeline 23,0.8519230769230769,hamlet / 0.875,501,2600,501,0,0:23:47,4:34:06,2:11:05,2:23:01,30,30,11817857,28100,11845957,1.6620852750000004
har,classification,Pipeline 19,0.9883495145631068,hamlet / 0.959,562,10299,562,0,1:47:00,19:45:21,8:30:07,11:15:14,30,30,14250870,25831,14276701,2.860695675
adult,classification,Pipeline 5,0.8511618384686253,hamlet / 0.805,15,48842,7,8,0:34:47,4:09:28,2:00:48,2:08:40,30,20,5221768,103540,5325308,2.660099474999999
,,,,,,,,,,,,,
