OpenML ID,Dataset,Problem,Best Pipeline,Best Test-set score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 6,0.9907024793388429,hamlet,6,4839,6,0,0:03:08,0:27:01,0:16:45,0:10:16,8,30,29,572936,27873,600809,0.5337890250000001
40499,texture,classification,Pipeline 2,0.9990909090909091,hamlet,41,5500,41,0,0:03:10,0:28:07,0:18:41,0:09:26,8,30,30,1241162,25561,1266723,1.0243709249999997
1485,madelon,classification,Pipeline 28,0.8634615384615385,hamlet,501,2600,501,0,0:19:54,2:55:13,1:22:14,1:32:59,8,30,30,11212888,27056,11239944,1.5505443749999999
1478,har,classification,Pipeline 18,0.987378640776699,hamlet,562,10299,562,0,1:01:24,10:24:24,4:17:54,6:06:30,8,30,30,15326374,26446,15352820,2.732410200000001
