OpenML ID,Dataset,Problem,Best Pipeline,Best Test-set score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 3,0.987603305785124,hamlet,6,4839,6,0,0:01:19,0:03:41,0:01:41,0:02:00,5,5,5,85267,4869,90136,0.08586075
40499,texture,classification,Pipeline 3,0.9963636363636363,hamlet,41,5500,41,0,0:01:34,0:05:06,0:01:50,0:03:16,5,5,5,204509,4456,208965,0.17343375
1485,madelon,classification,Pipeline 3,0.8480769230769231,hamlet,501,2600,501,0,0:05:04,0:07:16,0:02:11,0:05:05,5,5,4,1409251,3632,1412883,0.379084575
