OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 6,balanced_accuracy,0.9843802485723883,hamlet,5,4839,5,0,0:01:59,0:16:38,0:09:27,0:07:11,8,30,30,572228,26557,598785,0.18289249999999985
40499,texture,classification,Pipeline 2,balanced_accuracy,0.9954545454545456,hamlet,40,5500,40,0,0:02:23,0:20:19,0:10:55,0:09:24,8,30,30,1406998,23111,1430109,0.20591785
1485,madelon,classification,Pipeline 4,balanced_accuracy,0.7769230769230769,hamlet,500,2600,500,0,0:01:51,0:10:07,0:03:55,0:06:11,8,30,16,5266208,9591,5275799,0.3016640749999999
1478,har,classification,Pipeline 6,balanced_accuracy,0.982657907970205,hamlet,561,10299,561,0,0:03:45,0:27:55,0:09:44,0:18:12,8,30,16,10167506,11764,10179270,0.5159296250000001
1590,adult,classification,Pipeline 24,balanced_accuracy,0.8264724659913693,hamlet,14,48842,6,8,1:01:57,7:51:28,3:06:34,4:44:54,8,30,30,1077315,45776,1123091,0.2954090250000001
554,mnist_784,classification,Pipeline 15,balanced_accuracy,0.9662015328871183,hamlet,784,70000,784,0,0:11:51,1:40:04,0:29:54,1:10:11,8,30,16,7601833,10364,7612197,0.44373160000000006
43939,california_housing,regression,Pipeline 15,rmse,60564.849742790204,to fill,9,20640,9,0,0:04:07,0:20:25,0:13:25,0:06:59,8,30,30,1673823,47974,1721797,0.4004457749999999
42165,ames_housing,regression,Pipeline 0,rmse,32397.204802151562,to fill,80,1460,37,43,0:04:33,0:31:48,0:19:51,0:11:57,8,30,30,5374877,72631,5447508,0.6552266
196,auto_mpg,regression,Pipeline 22,rmse,2.276965381076411,to fill,7,398,7,0,0:02:22,0:15:02,0:10:49,0:04:14,8,30,30,1289577,37819,1327396,0.3201925499999999
