OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 18,balanced_accuracy,0.9849261001007725,hamlet,5,4839,5,0,0:04:15,0:30:00,0:17:16,0:12:44,8,2430,30,30,666666,34427,701093,0.218307,poor.yml
40499,texture,classification,Pipeline 20,balanced_accuracy,0.98,hamlet,40,5500,40,0,0:04:55,0:35:04,0:18:34,0:16:30,8,2430,30,30,1709360,32653,1742013,0.27503989999999995,poor.yml
1485,madelon,classification,Pipeline 29,balanced_accuracy,0.8076923076923077,hamlet,500,2600,500,0,0:46:34,6:22:01,2:53:00,3:29:01,8,2430,30,30,14403647,33581,14437228,0.8390489750000004,poor.yml
1478,har,classification,Pipeline 26,balanced_accuracy,0.9782222733136169,hamlet,561,10299,561,0,1:32:31,10:22:07,3:55:50,6:26:17,8,2430,30,30,23109225,36620,23145845,1.2901428000000004,poor.yml
1590,adult,classification,Pipeline 18,balanced_accuracy,0.7998178911799794,hamlet,14,48842,6,8,0:33:47,4:31:41,2:19:13,2:12:28,8,2430,30,30,3204696,96686,3301382,0.6751592250000005,poor.yml
554,mnist_784,classification,Pipeline 14,balanced_accuracy,0.9629807551085131,hamlet,784,70000,784,0,2:00:29,3:15:28,1:28:55,1:46:32,8,2430,30,11,9692298,17002,9709300,0.5738259750000001,poor.yml
43939,california_housing,regression,Pipeline 29,rmse,50959.244657059375,to fill,9,20640,9,0,0:05:45,0:41:59,0:25:25,0:16:34,8,1080,30,30,1869961,57151,1927112,0.41104780000000013,poor.yml
42165,ames_housing,regression,Pipeline 24,rmse,29665.341724046244,to fill,80,1460,37,43,0:04:31,0:29:20,0:20:42,0:08:37,8,1080,30,30,5165947,74277,5240224,0.6121692250000004,poor.yml
196,auto_mpg,regression,Pipeline 4,rmse,2.3492084000354017,to fill,7,398,7,0,0:05:12,0:29:30,0:21:28,0:08:02,8,3915,30,30,3072183,79720,3151903,0.61812435,poor.yml
