OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 21,balanced_accuracy,0.9330282163251595,hamlet,5,4839,5,0,0:03:49,0:31:12,0:16:15,0:14:57,8,2430,30,30,795322,37125,832447,0.24305064999999998,poor.yml
40499,texture,classification,Pipeline 1,balanced_accuracy,0.9763636363636364,hamlet,40,5500,40,0,0:03:44,0:31:12,0:16:29,0:14:43,8,2430,30,30,1571195,30731,1601926,0.25284274999999995,poor.yml
1485,madelon,classification,Pipeline 24,balanced_accuracy,0.8096153846153846,hamlet,500,2600,500,0,0:26:31,3:12:52,1:43:19,1:29:33,8,2430,30,30,13213487,32674,13246161,0.6603430250000001,poor.yml
1478,har,classification,Pipeline 27,balanced_accuracy,0.980741028176704,hamlet,561,10299,561,0,1:30:04,11:29:06,4:08:16,7:20:50,8,2430,30,30,17785006,28885,17813891,1.0044707500000007,poor.yml
1590,adult,classification,Pipeline 19,balanced_accuracy,0.8220731384569231,hamlet,14,48842,6,8,0:14:53,2:24:35,1:23:52,1:00:43,8,2430,30,30,3860002,101433,3961435,0.7058245749999997,poor.yml
554,mnist_784,classification,Pipeline 8,balanced_accuracy,0.9676405394045886,hamlet,784,70000,784,0,2:01:05,5:42:08,2:28:39,3:13:28,8,2430,30,20,14371707,24240,14395947,0.7115186999999998,poor.yml
43939,california_housing,regression,Pipeline 21,rmse,62218.51282478155,to fill,9,20640,9,0,0:04:30,0:34:44,0:20:22,0:14:22,8,1080,30,30,1590848,52347,1643195,0.3780456500000002,poor.yml
42165,ames_housing,regression,Pipeline 27,rmse,30086.902427243305,to fill,80,1460,37,43,0:22:16,2:36:06,1:24:38,1:11:28,8,3915,30,30,7218936,114257,7333193,0.9212709000000002,poor.yml
196,auto_mpg,regression,Pipeline 24,rmse,2.507331020963346,to fill,7,398,7,0,0:04:49,0:26:16,0:20:55,0:05:21,8,3915,30,30,3536109,81943,3618052,0.6764937000000002,poor.yml
