OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 16,balanced_accuracy,0.9843802485723883,hamlet,5,4839,5,0,0:02:36,0:20:40,0:11:33,0:09:07,8,72,30,30,543107,25605,568712,0.17418425,wilt.yml
40499,texture,classification,Pipeline 0,balanced_accuracy,0.9954545454545456,hamlet,40,5500,40,0,0:02:33,0:20:23,0:10:15,0:10:08,8,36,30,30,1165417,19618,1185035,0.17512255000000004,texture.yml
1485,madelon,classification,Pipeline 8,balanced_accuracy,0.7769230769230769,hamlet,500,2600,500,0,0:01:59,0:11:49,0:05:18,0:06:31,8,16,30,16,5731601,10113,5741714,0.31319360000000007,madelon.yml
1478,har,classification,Pipeline 11,balanced_accuracy,0.9817282730619138,hamlet,561,10299,561,0,0:03:28,0:23:24,0:07:30,0:15:55,8,16,30,16,9113369,10690,9124059,0.41990067499999995,har.yml
1590,adult,classification,Pipeline 20,balanced_accuracy,0.825451582560699,hamlet,14,48842,6,8,0:47:34,5:08:48,1:56:19,3:12:29,8,68,30,30,2325904,66754,2392658,0.47609470000000004,adult.yml
554,mnist_784,classification,Pipeline 2,balanced_accuracy,0.9652656241929213,hamlet,784,70000,784,0,0:11:26,1:31:05,0:26:38,1:04:27,8,16,30,16,7908140,11083,7919223,0.455182175,mnist_784.yml
43939,california_housing,regression,Pipeline 15,rmse,49873.018666817894,to fill,9,20640,9,0,0:03:14,0:18:53,0:14:00,0:04:53,8,87,30,30,2692832,61061,2753893,0.4852511749999998,california_housing.yml
42165,ames_housing,regression,Pipeline 20,rmse,29368.753130979865,to fill,80,1460,37,43,0:04:57,0:36:18,0:28:19,0:07:59,8,184,30,30,7778552,92096,7870648,0.8633364499999997,ames_housing.yml
196,auto_mpg,regression,Pipeline 18,rmse,2.1484063927615105,to fill,7,398,7,0,0:02:44,0:16:43,0:13:14,0:03:29,8,78,30,30,2312228,46691,2358919,0.4665886999999999,auto_mpg.yml
