OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 21,balanced_accuracy,0.9063654685925429,hamlet,5,4839,5,0,0:03:12,0:25:19,0:10:49,0:14:30,8,30,30,596771,32482,629253,0.19791574999999995
40499,texture,classification,Pipeline 27,balanced_accuracy,0.979090909090909,hamlet,40,5500,40,0,0:03:10,0:23:30,0:13:26,0:10:04,8,30,30,1521561,29402,1550963,0.24026752500000004
1485,madelon,classification,Pipeline 15,balanced_accuracy,0.8557692307692308,hamlet,500,2600,500,0,0:20:46,2:29:51,1:09:23,1:20:27,8,30,30,14928710,35559,14964269,0.8109469250000002
1478,har,classification,Pipeline 23,balanced_accuracy,0.9852793338609986,hamlet,561,10299,561,0,0:47:40,5:00:39,2:14:20,2:46:18,8,30,30,26352858,37816,26390674,1.2989297250000007
1590,adult,classification,Pipeline 24,balanced_accuracy,0.8068343387047924,hamlet,14,48842,6,8,0:44:15,3:16:00,1:22:13,1:53:46,8,30,30,2029895,81691,2111586,0.5108248250000001
554,mnist_784,classification,Pipeline 5,balanced_accuracy,0.9626388811010971,hamlet,784,70000,784,0,2:00:10,1:32:11,0:27:38,1:04:33,8,30,5,3726758,6488,3733246,0.2962227500000001
43939,california_housing,regression,Pipeline 2,rmse,66701.23549724898,to fill,9,20640,9,0,0:03:55,0:27:17,0:13:49,0:13:28,8,30,30,1172861,44297,1217158,0.284919125
42165,ames_housing,regression,Pipeline 21,rmse,31820.71854503785,to fill,80,1460,37,43,0:03:11,0:23:50,0:16:35,0:07:15,8,30,30,5002842,74425,5077267,0.6270311249999996
196,auto_mpg,regression,Pipeline 13,rmse,2.1608464559634926,to fill,7,398,7,0,0:02:08,0:14:55,0:09:31,0:05:24,8,30,30,1113994,37039,1151033,0.2820192249999998
