OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 10,balanced_accuracy,0.9849261001007725,hamlet,5,4839,5,0,0:02:56,0:21:53,0:13:12,0:08:40,8,72,30,30,626542,27505,654047,0.19262552499999996,wilt.yml
40499,texture,classification,Pipeline 23,balanced_accuracy,0.9954545454545456,hamlet,40,5500,40,0,0:02:58,0:22:24,0:13:04,0:09:20,8,36,30,30,1320557,21574,1342131,0.19720759999999998,texture.yml
1485,madelon,classification,Pipeline 10,balanced_accuracy,0.7769230769230769,hamlet,500,2600,500,0,0:02:14,0:12:57,0:06:50,0:06:07,8,16,30,16,6555518,11571,6567089,0.38551407499999996,madelon.yml
1478,har,classification,Pipeline 10,balanced_accuracy,0.9815664048671994,hamlet,561,10299,561,0,0:04:08,0:26:33,0:10:31,0:16:02,8,16,30,16,9283761,10610,9294371,0.4495073250000002,har.yml
1590,adult,classification,Pipeline 13,balanced_accuracy,0.826421900992985,hamlet,14,48842,6,8,2:01:08,9:52:41,4:28:34,5:24:07,8,68,30,29,1670661,59026,1729687,0.4123187249999999,adult.yml
554,mnist_784,classification,Pipeline 14,balanced_accuracy,0.9652656241929213,hamlet,784,70000,784,0,0:12:23,1:39:50,0:32:39,1:07:11,8,16,30,16,7915047,11184,7926231,0.42399600000000004,mnist_784.yml
43939,california_housing,regression,Pipeline 22,rmse,60671.66215729215,to fill,9,20640,9,0,0:04:15,0:26:40,0:18:23,0:08:18,8,87,30,30,1320300,46679,1366979,0.34796257500000005,california_housing.yml
42165,ames_housing,regression,Pipeline 13,rmse,31722.424429014645,to fill,80,1460,37,43,0:04:40,0:36:26,0:21:50,0:14:36,8,184,30,30,2760675,51906,2812581,0.41569462500000004,ames_housing.yml
196,auto_mpg,regression,Pipeline 20,rmse,2.1484063927615105,to fill,7,398,7,0,0:03:27,0:20:02,0:15:43,0:04:18,8,78,30,30,1639465,40671,1680136,0.36048077500000014,auto_mpg.yml
