OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 24,balanced_accuracy,0.9849261001007725,hamlet,5,4839,5,0,0:04:37,0:37:26,0:18:56,0:18:30,8,299,30,30,594533,30559,625092,0.19008245,general.yml
40499,texture,classification,Pipeline 8,balanced_accuracy,0.9927272727272727,hamlet,40,5500,40,0,0:05:54,0:53:12,0:25:10,0:28:02,8,299,30,30,1513688,29649,1543337,0.23777247500000004,general.yml
1485,madelon,classification,Pipeline 21,balanced_accuracy,0.851923076923077,hamlet,500,2600,500,0,0:52:02,6:36:07,2:47:12,3:48:55,8,299,30,30,12459586,29061,12488647,0.8382502000000007,general.yml
1478,har,classification,Pipeline 27,balanced_accuracy,0.9869291207131902,hamlet,561,10299,561,0,1:40:59,11:31:37,3:21:28,8:10:09,8,299,30,30,20075456,30201,20105657,1.1415922250000001,general.yml
1590,adult,classification,Pipeline 26,balanced_accuracy,0.8277534555434951,hamlet,14,48842,6,8,0:24:29,2:45:29,1:13:53,1:31:36,8,299,30,30,3384556,99980,3484536,0.6901155249999997,general.yml
554,mnist_784,classification,Pipeline 16,balanced_accuracy,0.9668687033850512,hamlet,784,70000,784,0,2:00:41,6:25:52,3:08:04,3:17:48,8,299,30,21,13882320,23744,13906064,0.9044858999999998,general.yml
43939,california_housing,regression,Pipeline 19,rmse,67237.02726553693,to fill,9,20640,9,0,0:05:50,0:38:04,0:25:55,0:12:08,8,272,30,30,2226846,61215,2288061,0.49484662500000015,general.yml
42165,ames_housing,regression,Pipeline 25,rmse,32275.547425573957,to fill,80,1460,37,43,0:05:45,0:39:55,0:27:24,0:12:30,8,272,30,30,4864349,69721,4934070,0.5940202249999997,general.yml
196,auto_mpg,regression,Pipeline 0,rmse,2.2305481676316687,to fill,7,398,7,0,0:06:12,0:38:55,0:30:07,0:08:48,8,815,30,30,4372199,88093,4460292,0.7576037000000009,general.yml
