Dataset,Problem,Best Pipeline,Best Test-set score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Consumed Tokens,Putative Cost ($)
wilt,classification,Pipeline 0,0.9462809917355371,hamlet,6,4839,6,0,0:01:27,0:03:53,0:01:44,0:02:09,5,5,,,84259,0.08014049999999999
texture,classification,Pipeline 0,0.9963636363636363,hamlet,41,5500,41,0,0:01:29,0:04:52,0:02:00,0:02:52,5,5,,,260458,0.1921386
madelon,classification,Pipeline 4,0.8634615384615385,hamlet,501,2600,501,0,0:05:04,0:08:32,0:02:12,0:06:20,5,4,,,1657929,0.29427195
har,classification,Pipeline 1,0.9393203883495146,hamlet,562,10299,562,0,0:05:04,0:07:01,0:01:47,0:05:14,5,4,,,1934844,0.4158935250000001
adult,classification,Pipeline 0,0.8332480294810114,hamlet,15,48842,7,8,0:04:37,0:12:05,0:06:10,0:05:56,5,4,,,1660011,0.5841851249999999
wilt,classification,Pipeline 1,0.96900826446281,hamlet,6,4839,6,0,0:01:08,0:03:20,0:01:34,0:01:46,5,5,70915,4238,75153,0.07225725
texture,classification,Pipeline 0,0.9945454545454545,hamlet,41,5500,41,0,0:01:05,0:03:57,0:01:54,0:02:03,5,5,261793,5270,267063,0.209282025
,,,,,,,,,,,,,,,,
