OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 11,balanced_accuracy,0.9732532751091703,hamlet,6,4839,6,0,0:02:39,0:25:15,0:14:39,0:10:36,8,30,30,621723,31406,653129,0.6049988999999998
40499,texture,classification,Pipeline 23,balanced_accuracy,1.0,hamlet,41,5500,41,0,0:02:53,0:27:51,0:15:59,0:11:51,8,30,30,1761996,32565,1794561,1.0089112499999997
1485,madelon,classification,Pipeline 10,balanced_accuracy,0.851923076923077,hamlet,501,2600,501,0,0:20:38,2:51:33,1:27:19,1:24:13,8,30,30,16870021,38880,16908901,2.6314529250000005
1478,har,classification,Pipeline 20,balanced_accuracy,0.9813324591210887,hamlet,562,10299,562,0,0:34:28,4:36:48,2:01:34,2:35:14,8,30,30,21314693,31955,21346648,3.5620590749999987
1590,adult,classification,Pipeline 27,balanced_accuracy,0.8186201275285521,hamlet,15,48842,7,8,1:02:48,5:14:52,2:44:14,2:30:39,8,30,30,2679484,82262,2761746,1.8204397500000002
554,mnist_784,classification,Pipeline 6,balanced_accuracy,0.956599655163687,hamlet,785,70000,785,0,2:00:08,2:04:43,0:47:20,1:17:24,8,30,9,6123320,10083,6133403,1.7758986000000003
43939,california_housing,regression,Pipeline 2,rmse,64692.958398847164,to fill,10,20640,10,0,0:05:54,0:41:41,0:26:51,0:14:50,8,30,30,3488184,72006,3560190,2.0212645499999997
42165,ames_housing,regression,Pipeline 19,rmse,30847.310352337794,to fill,81,1460,38,43,0:04:10,0:32:33,0:25:55,0:06:38,8,30,30,6891695,94792,6986487,2.9516606249999997
196,auto_mpg,regression,Pipeline 29,rmse,2.550177455418964,to fill,8,398,8,0,0:03:49,0:24:02,0:21:47,0:02:14,8,30,30,4574047,91234,4665281,2.8951911749999995
