OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($)
40983,wilt,classification,Pipeline 2,balanced_accuracy,0.9800134363453141,hamlet,5,4839,5,0,0:04:15,0:28:16,0:20:05,0:08:11,8,30,30,615677,136095,751772,0.77592421
40499,texture,classification,Pipeline 7,balanced_accuracy,0.9954545454545456,hamlet,40,5500,40,0,0:04:40,0:34:42,0:23:37,0:11:05,8,30,30,1456958,132501,1589459,0.9867682000000001
1485,madelon,classification,Pipeline 17,balanced_accuracy,0.8634615384615385,hamlet,500,2600,500,0,0:33:00,4:28:14,2:05:56,2:22:18,8,30,30,10932917,127893,11060810,2.2591469999999996
1478,har,classification,Pipeline 28,balanced_accuracy,0.9817282730619138,hamlet,561,10299,561,0,0:50:03,4:53:22,2:24:05,2:29:17,8,30,16,8038983,57264,8096247,3.149535079999999
1590,adult,classification,Pipeline 19,balanced_accuracy,0.8211637743027125,hamlet,14,48842,6,8,1:20:06,6:57:06,2:23:26,4:33:39,8,30,30,2060883,607329,2669141,2.750225490000002
554,mnist_784,classification,Pipeline 16,balanced_accuracy,0.9645268116529918,hamlet,784,70000,784,0,2:00:22,6:35:09,3:21:56,3:13:14,8,30,20,9067121,77498,9144619,2.37155131
43939,california_housing,regression,Pipeline 16,rmse,67675.64076464027,to fill,9,20640,9,0,0:12:32,1:21:16,1:09:53,0:11:23,8,30,30,2679136,612343,3291479,2.8099209200000015
42165,ames_housing,regression,Pipeline 9,rmse,32357.899522676442,to fill,80,1460,37,43,0:13:44,1:31:20,1:28:34,0:02:46,8,30,30,5777887,870828,6648715,4.258311009999999
196,auto_mpg,regression,Pipeline 20,rmse,2.1484063927615105,to fill,7,398,7,0,0:04:59,0:33:52,0:30:16,0:03:36,8,30,30,1534367,239569,1773936,1.6067101899999994
