OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 0,balanced_accuracy,0.9843802485723883,hamlet,5,4839,5,0,0:04:10,0:36:28,0:18:50,0:17:38,8,299,30,30,622208,32482,654690,0.2042750000000001,general.yml
40499,texture,classification,Pipeline 18,balanced_accuracy,0.9954545454545456,hamlet,40,5500,40,0,0:04:45,0:43:52,0:21:51,0:22:00,8,299,30,30,1543999,29591,1573590,0.245262325,general.yml
1485,madelon,classification,Pipeline 19,balanced_accuracy,0.8634615384615385,hamlet,500,2600,500,0,0:22:24,2:50:36,1:13:08,1:37:28,8,299,30,30,12445914,27333,12473247,0.6917130750000003,general.yml
1478,har,classification,Pipeline 17,balanced_accuracy,0.9815664048671994,hamlet,561,10299,561,0,2:01:20,10:34:48,1:21:57,9:12:51,8,299,30,26,19468014,30760,19498774,1.1011860749999993,general.yml
1590,adult,classification,Pipeline 17,balanced_accuracy,0.820919036257032,hamlet,14,48842,6,8,0:23:29,3:33:43,1:44:34,1:49:09,8,299,30,29,2566361,79645,2646006,0.5577164750000003,general.yml
554,mnist_784,classification,Pipeline 10,balanced_accuracy,0.9710350096634814,hamlet,784,70000,784,0,2:00:25,2:55:58,1:12:35,1:43:23,8,299,30,11,7471801,12182,7483983,0.5132007999999999,general.yml
43939,california_housing,regression,Pipeline 3,rmse,66495.79436791698,to fill,9,20640,9,0,0:04:57,0:36:47,0:22:51,0:13:55,8,272,30,30,1905395,58248,1963643,0.43970974999999984,general.yml
42165,ames_housing,regression,Pipeline 10,rmse,32185.59668396266,to fill,80,1460,37,43,0:05:26,0:36:02,0:24:44,0:11:18,8,272,30,30,4494429,70213,4564642,0.6102267000000003,general.yml
196,auto_mpg,regression,Pipeline 14,rmse,2.15350574500046,to fill,7,398,7,0,0:03:24,0:19:41,0:15:33,0:04:08,8,272,30,30,1524462,42677,1567139,0.36856867500000007,general.yml
