OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Actual Time (h),Equivalent Time (h),LLM Inference Time (h),ML Training Time (h),Parallel Speedup,Worker Utilization,Budget Utilization,InstanceFeature Product,Cost per Pipeline ($)
40983,wilt,classification,Pipeline 17,balanced_accuracy,0.9827426939872356,0.975,5,4839,5,0,0:03:24,0:24:34,0:14:40,0:09:54,8,30,30,615707,33780,649487,0.6137902499999996,0.056666666666666664,0.40944444444444444,0.24444444444444444,0.165,7.2254901960784315,0.9031862745098039,1.0,24195,0.02045967499999999
40499,texture,classification,Pipeline 0,balanced_accuracy,0.9918181818181818,0.997,40,5500,40,0,0:03:13,0:28:06,0:16:58,0:11:08,8,30,30,2017288,35480,2052768,1.2081315000000004,0.05361111111111111,0.4683333333333333,0.2827777777777778,0.18555555555555556,8.735751295336788,1.0919689119170986,1.0,220000,0.04027105000000001
1485,madelon,classification,Pipeline 27,balanced_accuracy,0.8634615384615385,0.875,500,2600,500,0,0:18:50,2:13:02,1:09:09,1:03:52,8,30,30,14266818,32835,14299653,2.207072475,0.3138888888888889,2.2172222222222224,1.1525,1.0644444444444445,7.063716814159293,0.8829646017699117,1.0,1300000,0.0735690825
1478,har,classification,Pipeline 4,balanced_accuracy,0.987209758824327,0.959,561,10299,561,0,0:44:12,4:49:08,2:15:14,2:33:54,8,30,30,22220902,33979,22254881,4.179522900000003,0.7366666666666667,4.818888888888889,2.253888888888889,2.565,6.541478129713424,0.817684766214178,1.0,5777739,0.1393174300000001
1590,adult,classification,Pipeline 16,balanced_accuracy,0.822278909508971,0.805,14,48842,6,8,0:32:53,3:10:26,1:21:45,1:48:41,8,30,30,2674441,81671,2756112,1.8756788249999987,0.5480555555555555,3.173888888888889,1.3625,1.811388888888889,5.791180942726813,0.7238976178408516,1.0,683788,0.06252262749999996
554,mnist_784,classification,Pipeline 21,balanced_accuracy,0.9710350096634814,0.1,784,70000,784,0,2:00:28,7:03:17,2:54:24,4:08:52,8,30,25,17785846,27616,17813462,5.614693049999999,2.0077777777777777,7.054722222222222,2.9066666666666667,4.147777777777778,3.5136967349197565,0.43921209186496957,0.8333333333333334,54880000,0.22458772199999996
43939,california_housing,regression,Pipeline 25,rmse,67675.64076464035,1.0,9,20640,9,0,0:04:28,0:37:17,0:20:53,0:16:24,8,30,30,955318,41872,997190,0.8676821999999996,0.07444444444444444,0.6213888888888889,0.34805555555555556,0.2733333333333333,8.347014925373134,1.0433768656716418,1.0,185760,0.02892273999999999
42165,ames_housing,regression,Pipeline 11,rmse,30189.15218747868,1.0,80,1460,37,43,0:03:49,0:29:23,0:20:22,0:09:01,8,30,29,4071760,65523,4137283,2.017184025000001,0.0636111111111111,0.4897222222222222,0.33944444444444444,0.1502777777777778,7.6986899563318785,0.9623362445414848,0.9666666666666667,116800,0.06955806982758625
196,auto_mpg,regression,Pipeline 11,rmse,2.1484063927615105,1.0,7,398,7,0,0:02:48,0:20:10,0:14:42,0:05:28,8,30,30,1490934,44644,1535578,1.2527088750000002,0.04666666666666667,0.33611111111111114,0.245,0.09111111111111111,7.2023809523809526,0.9002976190476191,1.0,2786,0.04175696250000001
