OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 4,balanced_accuracy,0.9747648639570037,hamlet,5,4839,5,0,0:03:23,0:29:22,0:15:24,0:13:58,8,299,30,30,576677,30921,607598,0.19055074999999996,general.yml
40499,texture,classification,Pipeline 20,balanced_accuracy,0.9963636363636365,hamlet,40,5500,40,0,0:04:09,0:39:21,0:20:28,0:18:53,8,299,30,30,1552180,29800,1581980,0.24582062500000015,general.yml
1485,madelon,classification,Pipeline 24,balanced_accuracy,0.8634615384615385,hamlet,500,2600,500,0,0:32:45,3:46:17,1:24:57,2:21:19,8,299,30,30,13683551,31726,13715277,0.7058138000000003,general.yml
1478,har,classification,Pipeline 1,balanced_accuracy,0.9876779236183347,hamlet,561,10299,561,0,0:50:48,7:00:32,3:25:25,3:35:07,8,299,30,30,18809328,28880,18838208,0.8688889500000002,general.yml
1590,adult,classification,Pipeline 17,balanced_accuracy,0.8233361985873112,hamlet,14,48842,6,8,0:25:23,3:11:21,1:24:06,1:47:15,8,299,30,30,2632795,79351,2712146,0.5317254999999995,general.yml
554,mnist_784,classification,Pipeline 15,balanced_accuracy,0.9674571501244318,hamlet,784,70000,784,0,2:00:32,6:26:18,2:57:45,3:28:33,8,299,30,25,15901066,26654,15927720,0.8676203499999998,general.yml
43939,california_housing,regression,Pipeline 21,rmse,66701.23549724898,to fill,9,20640,9,0,0:03:55,0:29:59,0:18:41,0:11:18,8,272,30,30,1823758,54695,1878453,0.41512389999999993,general.yml
42165,ames_housing,regression,Pipeline 0,rmse,30937.687152575712,to fill,80,1460,37,43,0:04:24,0:31:24,0:21:03,0:10:21,8,272,30,30,4701729,71941,4773670,0.6224366249999996,general.yml
196,auto_mpg,regression,Pipeline 16,rmse,2.304574585682974,to fill,7,398,7,0,0:03:39,0:22:24,0:19:33,0:02:51,8,815,30,30,4638407,91226,4729633,0.8346268999999994,general.yml
