OpenML ID,Dataset,Problem,Best Pipeline,Validation Metric,Best Test-set Score,Baseline,Features,Instances,Numeric Features,Discrete Features,Actual Time,Equivalent Time,LLM Inference Time,ML Training Time,Workers,Pipelines Found,Pipeline Budget,Actual Pipelines,Input Tokens,Output Tokens,Total Tokens,Putative Cost ($),Specification
40983,wilt,classification,Pipeline 5,balanced_accuracy,0.9758565670137722,hamlet,5,4839,5,0,0:03:20,0:26:58,0:15:15,0:11:43,8,2430,30,30,621568,32476,654044,0.2041060000000001,poor.yml
40499,texture,classification,Pipeline 3,balanced_accuracy,0.979090909090909,hamlet,40,5500,40,0,0:04:19,0:35:21,0:17:38,0:17:43,8,2430,30,30,1605746,32903,1638649,0.2602283749999999,poor.yml
1485,madelon,classification,Pipeline 25,balanced_accuracy,0.8596153846153847,hamlet,500,2600,500,0,0:28:26,1:58:58,0:52:03,1:06:55,8,2430,30,30,15414346,36274,15450620,0.808583575,poor.yml
1478,har,classification,Pipeline 29,balanced_accuracy,0.984327617343133,hamlet,561,10299,561,0,1:38:55,15:01:40,5:54:48,9:06:52,8,2430,30,30,20617466,31311,20648777,1.2375064249999999,poor.yml
1590,adult,classification,Pipeline 29,balanced_accuracy,0.7934242536324203,hamlet,14,48842,6,8,0:37:42,6:28:08,2:47:59,3:40:09,8,2430,30,30,2080759,76608,2157367,0.5046782500000001,poor.yml
554,mnist_784,classification,Pipeline 0,balanced_accuracy,0.962291952098757,hamlet,784,70000,784,0,2:00:28,5:03:12,1:50:18,3:12:54,8,2430,30,15,10969100,19759,10988859,0.6730379,poor.yml
43939,california_housing,regression,Pipeline 20,rmse,50937.411482399766,to fill,9,20640,9,0,0:04:00,0:27:06,0:16:29,0:10:38,8,1080,30,30,1704342,56767,1761109,0.41107162500000005,poor.yml
42165,ames_housing,regression,Pipeline 24,rmse,34368.57849399889,to fill,80,1460,37,43,0:04:28,0:24:39,0:18:07,0:06:33,8,1080,30,30,5332775,78085,5410860,0.6859980500000006,poor.yml
196,auto_mpg,regression,Pipeline 21,rmse,2.2975090637157023,to fill,7,398,7,0,0:04:14,0:24:50,0:17:58,0:06:52,8,3915,30,30,3257246,83864,3341110,0.6576105500000006,poor.yml
